tool_id,num_jobs,avg_runtime_seconds,median_runtime_seconds,p95_runtime_seconds,avg_allocated_memory_gb,median_allocated_memory_gb,p95_allocated_memory_gb,avg_job_cost,median_job_cost,p95_job_cost,avg_input_size_mb,median_input_size_mb,p95_input_size_mb
barchart_gnuplot,72,26,12,97,7.7,7.7,7.7,0.00044,0.00020,0.00165,1.0,1.0,1.0
baredsc_1d,5,489,133,1491,7.7,7.7,7.7,0.00832,0.00226,0.02539,1.0,1.0,1.0
baredsc_combine_1d,1,68,68,68,7.7,7.7,7.7,0.00116,0.00116,0.00116,33.0,33.0,33.0
basil,110,1098,116,4300,7.5,7.7,7.7,0.01866,0.00198,0.07317,5690.8,744.0,20991.1
bax2bam,32,542,149,1681,5.8,5.8,7.7,0.00919,0.00246,0.02861,6366.7,2992.0,20415.2
bbtools_bbmap,1108,7036,456,38947,7.5,7.7,7.7,0.11773,0.00748,0.65568,1697.6,112.0,5089.3
bcftools_annotate,15636,38,10,61,7.6,7.7,7.7,0.00064,0.00017,0.00102,225.4,1.0,45.0
bcftools_call,8851,338,15,1614,7.3,7.7,7.7,0.00561,0.00026,0.02682,2622.5,7.0,13324.0
bcftools_cnv,247,99,15,222,7.3,7.7,7.7,0.00166,0.00026,0.00378,1394.2,1.0,1104.0
bcftools_concat,1721,61,15,142,7.4,7.7,7.7,0.00103,0.00026,0.00238,227.1,8.0,359.0
bcftools_consensus,47491,18,9,40,7.6,7.7,7.7,0.00031,0.00015,0.00068,31.0,1.0,3.0
bcftools_convert_from_vcf,202,34,13,161,7.0,7.7,7.7,0.00056,0.00020,0.00273,114.6,1.0,577.4
bcftools_convert_to_vcf,557,40,12,129,7.0,7.7,7.7,0.00065,0.00020,0.00211,213.0,1.0,1414.0
bcftools_csq,23,94,19,447,6.7,7.7,7.7,0.00158,0.00032,0.00761,862.1,83.0,3607.5
bcftools_filter,3309,105,14,325,7.5,7.7,7.7,0.00172,0.00024,0.00549,1020.0,25.0,4254.0
bcftools_gtcheck,88,22,9,59,7.4,7.7,7.7,0.00038,0.00015,0.00101,222.8,1.0,638.5
bcftools_isec,665,123,13,386,7.6,7.7,7.7,0.00209,0.00022,0.00656,2359.1,25.0,16458.0
bcftools_merge,1193,382,48,950,7.4,7.7,7.7,0.00628,0.00082,0.01592,1967.3,122.0,7579.8
bcftools_mpileup,12577,1711,65,8986,8.4,7.7,19.4,0.03145,0.00131,0.16526,1695.1,74.0,6943.0
bcftools_norm,3457,163,103,382,7.5,7.7,7.7,0.00282,0.00178,0.00652,302.1,5.0,1257.0
bcftools_plugin_color_chrs,6,13,13,14,6.4,7.7,7.7,0.00019,0.00019,0.00022,1.0,1.0,1.0
bcftools_plugin_counts,6919,63,11,208,7.6,7.7,7.7,0.00107,0.00019,0.00354,761.8,1.0,2809.0
bcftools_plugin_dosage,16,18,11,60,6.2,7.7,7.7,0.00028,0.00016,0.00103,78.3,1.0,392.0
bcftools_plugin_fill_an_ac,24,91,43,289,6.5,7.7,7.7,0.00152,0.00074,0.00493,1073.2,223.0,4233.0
bcftools_plugin_fill_tags,102,40,18,144,7.2,7.7,7.7,0.00067,0.00031,0.00246,130.8,18.0,587.0
bcftools_plugin_fixploidy,27,90,13,255,5.7,7.7,7.7,0.00147,0.00019,0.00427,403.7,5.0,1039.2
bcftools_plugin_frameshifts,26,77,71,204,7.3,7.7,7.7,0.00127,0.00121,0.00344,955.7,353.5,3629.8
bcftools_plugin_impute_info,53,75,16,268,5.7,7.7,7.7,0.00125,0.00027,0.00456,765.4,7.0,1352.0
bcftools_plugin_mendelian,21,25,15,43,5.5,3.8,7.7,0.00039,0.00018,0.00073,90.8,1.0,169.0
bcftools_plugin_missing2ref,49,116,63,173,7.2,7.7,7.7,0.00196,0.00107,0.00294,1569.6,35.0,1730.0
bcftools_plugin_setgt,65,59,20,172,7.3,7.7,7.7,0.00099,0.00034,0.00292,730.3,17.0,1793.6
bcftools_plugin_tag2tag,6,16,14,26,3.8,3.8,3.8,0.00019,0.00018,0.00033,1.0,1.0,1.0
bcftools_query,573,50,13,117,7.5,7.7,7.7,0.00082,0.00020,0.00200,1788.7,18.0,4193.6
bcftools_query_list_samples,493,39,10,77,7.2,7.7,7.7,0.00066,0.00017,0.00131,1887.1,3.0,5962.4
bcftools_reheader,411,50,11,127,7.3,7.7,7.7,0.00082,0.00019,0.00216,351.0,6.0,1215.0
bcftools_roh,115,99,51,305,7.2,7.7,7.7,0.00168,0.00087,0.00518,2060.4,5.0,11076.0
bcftools_stats,3123,65,13,192,7.4,7.7,7.7,0.00108,0.00022,0.00322,650.0,8.0,1463.8
bcftools_view,3645,104,15,395,7.4,7.7,7.7,0.00174,0.00026,0.00660,1473.2,11.0,4966.0
bed2gff1,3108,33,11,106,7.4,7.7,7.7,0.00054,0.00019,0.00173,126.5,1.0,264.2
bed_to_bigbed,322,25,10,57,7.5,7.7,7.7,0.00042,0.00017,0.00097,42.8,1.0,65.6
bed_to_protein_map,250,27,17,66,7.4,7.7,7.7,0.00045,0.00029,0.00107,119.2,67.5,207.7
bedops-sort-bed,68,56,14,179,6.3,7.7,7.7,0.00084,0.00022,0.00280,344.1,1.0,2274.0
bedtools_annotatebed,800,133,18,160,7.4,7.7,7.7,0.00222,0.00031,0.00267,251.3,15.0,1547.0
bedtools_bamtobed,20590,124,37,449,18.6,7.7,30.7,0.00581,0.00146,0.02138,1179.3,303.0,4211.7
bedtools_bamtofastq,4590,519,42,2117,7.4,7.7,7.7,0.00820,0.00070,0.03497,942.7,113.0,4960.0
bedtools_bed12tobed6,267,28,12,131,7.4,7.7,7.7,0.00047,0.00020,0.00224,78.2,5.0,277.2
bedtools_bedpetobam,68,23,12,67,6.6,7.5,7.7,0.00037,0.00020,0.00114,92.0,1.0,242.0
bedtools_bedtobam,3637,69,13,302,7.4,7.7,7.7,0.00113,0.00022,0.00511,448.3,6.0,2618.6
bedtools_bedtoigv,939,135,12,358,7.4,7.7,7.7,0.00226,0.00020,0.00610,236.2,2.0,699.0
bedtools_closestbed,1794,27,11,72,7.4,7.7,7.7,0.00044,0.00017,0.00121,27.8,2.0,100.4
bedtools_clusterbed,556,93,12,358,7.5,7.7,7.7,0.00158,0.00019,0.00610,675.5,1.0,2682.3
bedtools_complementbed,113,15,10,37,7.1,7.7,7.7,0.00024,0.00017,0.00062,24.3,1.0,102.0
bedtools_coveragebed,3158,378,26,1191,7.9,7.7,14.3,0.00661,0.00046,0.02387,374.2,19.0,1308.1
bedtools_expandbed,44,215,12,65,4.9,3.8,7.7,0.00362,0.00016,0.00111,3406.6,1.0,1148.1
bedtools_fisher,471,12,9,33,7.5,7.7,7.7,0.00020,0.00015,0.00056,8.4,1.0,10.0
bedtools_flankbed,542,33,12,86,7.1,7.7,7.7,0.00051,0.00019,0.00141,37.9,1.0,285.0
bedtools_genomecoveragebed,47439,97,20,340,7.6,7.7,7.7,0.00162,0.00034,0.00563,316.6,38.0,1717.1
bedtools_getfastabed,17685,93,12,160,7.4,7.7,7.7,0.00149,0.00020,0.00264,355.0,3.0,2962.0
bedtools_groupbybed,333,14,9,37,7.0,7.7,7.7,0.00023,0.00015,0.00055,188.6,1.0,34.8
bedtools_intersectbed,80585,25,10,65,8.8,7.7,7.7,0.00045,0.00019,0.00114,97.8,2.0,290.8
bedtools_jaccard,1916,17,11,35,7.6,7.7,7.7,0.00028,0.00019,0.00060,133.4,2.0,581.0
bedtools_links,110,258,14,613,6.4,7.7,7.7,0.00436,0.00020,0.01043,122.4,1.0,741.1
bedtools_makewindowsbed,390,388,15,669,6.9,7.7,7.7,0.00649,0.00022,0.01139,158.7,1.0,424.1
bedtools_map,1654,42,15,134,7.5,7.7,7.7,0.00072,0.00026,0.00228,757.1,106.0,986.1
bedtools_maskfastabed,2335,16,10,45,7.5,7.7,7.7,0.00026,0.00016,0.00076,35.3,1.0,10.0
bedtools_mergebed,6760,21,10,68,8.0,7.7,15.4,0.00038,0.00017,0.00123,38.8,1.0,101.0
bedtools_multicovtbed,4813,905,67,2837,7.6,7.7,7.7,0.01531,0.00114,0.04672,10934.8,5746.0,36554.8
bedtools_multiintersectbed,3136,48,11,80,7.5,7.7,7.7,0.00080,0.00019,0.00134,162.7,1.0,98.0
bedtools_nucbed,229,27,12,96,6.9,7.7,7.7,0.00044,0.00019,0.00140,558.3,8.0,3122.0
bedtools_overlapbed,31,17,13,31,5.9,7.5,7.7,0.00026,0.00022,0.00044,1.0,1.0,1.0
bedtools_randombed,37,37,10,37,6.0,7.5,7.7,0.00061,0.00017,0.00062,3.2,1.0,3.0
bedtools_reldistbed,244,24,10,70,7.1,7.7,7.7,0.00038,0.00016,0.00119,17.5,1.0,29.1
bedtools_shufflebed,1182,21,11,60,7.5,7.7,7.7,0.00035,0.00019,0.00102,23.5,1.0,6.0
bedtools_slopbed,1356,20,10,74,7.3,7.7,7.7,0.00032,0.00017,0.00109,44.7,1.0,22.2
bedtools_sortbed,8124,19,11,64,8.3,7.7,20.5,0.00034,0.00019,0.00111,26.4,1.0,120.0
bedtools_spacingbed,77,42,11,148,6.9,7.7,7.7,0.00070,0.00017,0.00251,357.2,1.0,3498.4
bedtools_subtractbed,4638,58,11,95,7.6,7.7,7.7,0.00100,0.00019,0.00162,92.1,1.0,169.0
bedtools_tagbed,39,206,14,1193,5.7,5.7,7.7,0.00348,0.00024,0.02031,629.1,2.0,3784.8
bedtools_unionbedgraph,1041,580,80,1958,7.4,7.7,7.7,0.00973,0.00134,0.03332,922.8,142.0,4182.0
bedtools_windowbed,1502,41,11,75,7.4,7.7,7.7,0.00069,0.00019,0.00124,60.8,1.0,59.9
bellerophon,127,7930,3609,28179,24.9,30.7,30.7,0.69043,0.30032,2.40141,40924.0,25132.0,111672.0
bestsubsetsregression1,8,22,16,41,7.7,7.7,7.7,0.00037,0.00028,0.00070,1.0,1.0,1.0
bg_column_arrange_by_header,822,26,11,72,7.3,7.7,7.7,0.00042,0.00019,0.00116,50.9,3.0,109.9
bg_diamond,5845,539,20,1288,31.3,30.7,30.7,0.05070,0.00185,0.12384,2370.4,184.0,8887.6
bg_diamond_makedb,3918,37,8,87,30.7,30.7,30.7,0.00341,0.00070,0.00821,586.6,2.0,1015.0
bg_diamond_view,1847,15,7,35,30.0,30.7,30.7,0.00126,0.00062,0.00281,45.2,1.0,1.0
bg_find_subsequences,1292,877,82,3024,7.5,7.7,7.7,0.01492,0.00138,0.05147,3941.0,367.0,15270.0
bg_sortmerna,239,7080,360,37064,6.5,7.7,7.7,0.11413,0.00563,0.61737,11500.6,11108.0,23393.0
bicodon_counts_from_fasta,27,43,13,184,6.6,7.7,7.7,0.00070,0.00022,0.00314,6.0,1.0,22.0
bigwigtowig,1892,115,43,382,7.3,7.7,7.7,0.00190,0.00071,0.00611,137.0,37.0,420.7
bio3d_pca,9,53,21,137,33.0,7.7,65.5,0.00136,0.00154,0.00234,65.9,15.0,271.4
bio3d_pca_visualize,2,52,52,77,2.8,2.8,2.8,0.00058,0.00058,0.00086,15.5,15.5,17.8
bio3d_rmsd,18,61,65,105,49.7,49.9,92.2,0.00472,0.00143,0.01225,1219.1,116.0,4049.0
bio3d_rmsf,17,39,24,103,22.4,7.7,92.2,0.00126,0.00048,0.00351,310.2,89.0,1053.0
bio_hansel,191,86,46,421,27.0,29.9,30.7,0.00781,0.00282,0.04420,527.3,162.0,2800.0
bioext_bam2msa,3273,170,30,533,7.5,7.7,7.7,0.00285,0.00049,0.00894,153.9,4.0,411.8
bioext_bealign,1454,921,50,2578,24.9,29.9,30.7,0.06089,0.00328,0.21983,208.1,2.0,959.5
biom_add_metadata,45,27,14,75,7.3,7.7,7.7,0.00044,0.00022,0.00123,27.4,1.0,150.0
biom_convert,436,73,23,111,7.3,7.7,7.7,0.00122,0.00037,0.00178,5.4,1.0,14.0
biomd_neqgamma,2,25,25,25,3.8,3.8,3.8,0.00031,0.00031,0.00031,1.0,1.0,1.0
biomd_rmsd_clustering,3,42,22,80,7.6,7.7,7.7,0.00072,0.00037,0.00137,1.0,1.0,1.0
bionano_scaffold,29,18550,38,88388,184.3,194.6,253.0,9.86480,0.02592,52.93433,356.1,12.0,1153.2
biosigner,2,97,96,156,8.1,8.1,11.9,0.00205,0.00205,0.00356,1.0,1.0,1.0
blastxml_to_gapped_gff3,38,452,22,1417,7.3,7.7,7.7,0.00747,0.00037,0.02412,661.9,5.0,2366.6
blastxml_to_tabular,559,66,12,266,7.3,7.7,7.7,0.00111,0.00020,0.00452,541.7,3.0,2464.3
blockbuster,5,27,17,50,6.9,7.7,7.7,0.00044,0.00029,0.00086,8.4,1.0,30.6
blockclust,9,243,95,603,7.4,7.7,10.2,0.00395,0.00166,0.01049,254.9,81.0,1057.6
bowtie2,255897,2026,362,8719,29.4,30.1,30.7,0.18715,0.03344,0.80590,2068.6,613.0,8224.0
bowtie_color_wrapper,2,13,12,14,3.8,3.8,3.8,0.00016,0.00016,0.00017,1.0,1.0,1.0
bowtie_wrapper,1488,436,113,2223,30.0,30.7,30.7,0.03978,0.00924,0.20834,1624.2,389.0,7267.0
bp_genbank2gff3,5662,92,24,292,7.4,7.7,7.7,0.00151,0.00041,0.00478,65.3,9.0,75.0
build_ucsc_custom_track_1,461,27,14,81,7.2,7.7,7.7,0.00043,0.00024,0.00138,311.7,13.0,1404.0
busco,9972,1696,224,7917,77.5,60.0,194.6,0.27587,0.05072,1.08669,105.4,7.0,507.5
bwa,36803,2842,279,13776,29.0,30.0,30.7,0.26480,0.02525,1.28224,1397.3,284.0,5960.0
bwa_color_wrapper,2,24,24,38,3.8,3.8,3.8,0.00030,0.00030,0.00046,1.0,1.0,1.0
bwa_mem,158991,1400,104,5942,31.0,30.7,46.1,0.13133,0.00971,0.56096,1408.3,135.0,5542.0
bwa_mem2,15220,668,60,1865,27.2,29.9,30.7,0.07472,0.00421,0.21763,2139.7,206.0,7494.0
bwa_wrapper,188,2790,894,11389,28.3,30.7,30.7,0.22863,0.06855,0.69756,2940.3,1079.5,13915.8
bwameth,2362,7378,1036,35177,30.1,30.7,30.7,0.68405,0.09849,3.27018,2201.9,947.0,7343.2
cast,6,43,17,136,5.8,5.8,7.7,0.00070,0.00027,0.00229,28.3,2.0,121.5
cat1,46442,36,11,110,7.2,7.7,7.7,0.00059,0.00019,0.00179,731.0,3.0,3166.0
cat_multi_datasets,66,65,16,333,2.8,2.8,2.8,0.00073,0.00019,0.00371,781.8,7.0,2509.5
cat_multiple,18574,44,15,136,7.5,7.7,7.7,0.00074,0.00026,0.00228,2193.3,474.0,8241.0
cat_summarise,1,23,23,23,3.8,3.8,3.8,0.00028,0.00028,0.00028,1.0,1.0,1.0
cd_hit_dup,1740,71,13,142,7.5,7.7,7.7,0.00120,0.00022,0.00242,75.0,1.0,335.0
changecase,6182,19,11,55,7.4,7.7,7.7,0.00030,0.00017,0.00092,2.1,1.0,2.0
charts,2357,386,12,321,7.3,7.7,7.7,0.00640,0.00020,0.00547,13.8,1.0,19.0
check_snpeff_candidates,3,24,28,30,7.7,7.7,7.7,0.00042,0.00048,0.00051,42.3,54.0,54.0
chembl_structure_pipeline,5,51,25,138,7.6,7.7,7.7,0.00088,0.00043,0.00235,1.0,1.0,1.0
chipseeker,13984,435,300,841,7.7,7.7,8.2,0.00747,0.00514,0.01447,585.1,446.0,1439.0
chira_collapse,97,288,44,1634,6.9,7.7,7.7,0.00461,0.00066,0.02781,484.4,97.0,2102.6
chira_extract,23,10561,3611,22106,40.5,7.7,102.4,1.46691,0.23991,1.19200,4612.5,4566.0,4618.6
chira_map,59,1270,490,4671,55.4,81.9,81.9,0.12828,0.03901,0.81084,335.8,383.0,1021.4
chira_merge,33,542,447,1502,36.9,61.4,61.4,0.02783,0.00936,0.11938,1812.3,1188.0,5230.4
chira_quantify,25,765,48,3951,29.0,7.7,61.4,0.05949,0.00137,0.31835,365.6,10.0,2161.6
chopin2,4,32446,320,109805,7.7,7.7,7.7,0.55220,0.00544,1.86882,1.0,1.0,1.0
circgraph,925,101,32,180,7.8,7.7,7.7,0.00187,0.00054,0.00307,98.1,2.0,341.0
circos,10522,75,36,180,7.7,7.7,7.7,0.00129,0.00063,0.00310,20.7,1.0,24.0
circos_aln_to_links,292,92,12,168,7.5,7.7,7.7,0.00156,0.00020,0.00286,52.5,1.0,235.8
circos_binlinks,206,13,9,41,7.5,7.7,7.7,0.00021,0.00015,0.00068,39.2,1.0,263.0
circos_bundlelinks,272,51,10,103,7.5,7.7,7.7,0.00087,0.00017,0.00175,18.9,1.0,56.0
circos_gc_skew,331,42,14,131,7.5,7.7,7.7,0.00071,0.00024,0.00223,118.8,3.0,482.0
circos_interval_to_text,163,28,11,57,7.1,7.7,7.7,0.00046,0.00019,0.00098,60.2,1.0,56.0
circos_interval_to_tile,287,22,12,71,7.4,7.7,7.7,0.00036,0.00019,0.00121,21.9,1.0,37.2
circos_resample,177,105,27,114,7.5,7.7,7.7,0.00178,0.00046,0.00194,127.0,61.0,279.0
circos_tableviewer,232,146,40,351,7.3,7.7,7.7,0.00246,0.00067,0.00599,1.4,1.0,1.0
circos_wiggle_to_scatter,745,59,19,233,7.5,7.7,7.7,0.00099,0.00032,0.00397,71.1,3.0,361.6
circos_wiggle_to_stacked,233,144,47,610,7.6,7.7,7.7,0.00244,0.00080,0.01038,193.5,28.0,896.6
clinod,78,4137,2761,10888,7.6,7.7,7.7,0.07040,0.04699,0.18531,5.6,6.0,9.0
clustalw,17777,2397,11,6693,8.4,7.7,7.7,0.04601,0.00019,0.11528,1.7,1.0,4.0
codon_freq_from_bicodons,1,8,8,8,7.7,7.7,7.7,0.00014,0.00014,0.00014,1.0,1.0,1.0
collapse_dataset,11921,31,11,95,7.3,7.7,7.7,0.00051,0.00019,0.00153,1203.1,5.0,4994.0
collection_column_join,11237,42,12,83,14.9,15.4,15.4,0.00107,0.00029,0.00209,109.6,3.0,42.0
collection_element_identifiers,3744,25,10,83,6.4,7.7,7.7,0.00038,0.00015,0.00129,1303.1,2.0,710.0
column_order_header_sort,1061,19,14,43,7.6,7.7,7.7,0.00032,0.00024,0.00073,56.5,17.0,173.0
column_remove_by_header,3158,126,13,886,6.5,7.7,7.7,0.00206,0.00022,0.01492,171.2,1.0,418.0
combine_metaphlan2_humann2,25,30,13,72,5.5,7.7,7.7,0.00043,0.00022,0.00120,69.6,1.0,130.4
combineproballelecom,3,5,8,8,3.5,3.8,3.8,0.00007,0.00010,0.00010,1.0,1.0,1.0
comp1,22071,46,11,96,7.4,7.7,7.7,0.00076,0.00019,0.00160,240.0,1.0,490.0
compress_file,2092,260,20,1240,6.5,7.7,7.7,0.00403,0.00029,0.02021,1959.5,21.0,12233.1
condense characters1,22,32,9,115,7.1,7.7,7.7,0.00054,0.00015,0.00196,273.4,1.0,2277.3
convert characters1,11843,71,13,117,7.4,7.7,7.7,0.00119,0.00021,0.00194,317.2,2.0,349.0
cooler_balance,19,212,166,666,7.7,7.7,7.7,0.00361,0.00283,0.01133,5.7,1.0,19.4
cooler_cload_tabix,19,546,63,1983,7.7,7.7,7.7,0.00930,0.00107,0.03375,276.7,40.0,1212.9
cooler_csort_tabix,25,114,33,302,7.7,7.7,7.7,0.00194,0.00056,0.00513,299.7,20.0,475.4
cooler_makebins,3,170,33,415,7.7,7.7,7.7,0.00290,0.00056,0.00707,1.0,1.0,1.0
correct_barcodes,168,1035,584,3097,30.4,30.7,30.7,0.10511,0.05601,0.27994,4947.4,3173.0,15377.8
count1,17505,102,13,340,7.5,7.7,7.7,0.00172,0.00022,0.00558,802.1,14.0,3589.0
count_gff_features,317,115,27,357,7.2,7.7,7.7,0.00188,0.00043,0.00605,226.7,24.0,1271.2
cpat,21,534,452,1121,4.6,2.8,7.7,0.00732,0.00576,0.01248,303.5,220.0,913.0
cpgfilter,2,14,14,14,3.8,3.8,3.8,0.00017,0.00017,0.00017,1.0,1.0,1.0
crosscontamination_barcode_filter,29,71,73,121,7.2,7.7,7.7,0.00120,0.00124,0.00206,55.5,61.0,66.8
crossmap_bam,151,4877,3410,18652,7.4,7.7,7.7,0.08300,0.05804,0.31745,2433.2,1402.0,7158.5
crossmap_bed,570,130,17,641,7.5,7.7,7.7,0.00219,0.00029,0.01063,137.0,1.0,736.9
crossmap_gff,171,55,17,135,7.3,7.7,7.7,0.00092,0.00029,0.00231,442.3,3.0,779.0
crossmap_vcf,320,58,46,133,7.5,7.7,7.7,0.00099,0.00078,0.00226,415.5,234.0,530.1
crossmap_wig,233,1605,207,8837,7.6,7.7,7.7,0.02731,0.00352,0.15041,377.5,42.0,1591.6
cshl_fasta_formatter,2186,27,11,82,6.9,7.7,7.7,0.00044,0.00017,0.00138,235.1,1.0,741.7
cshl_fasta_nucleotides_changer,582,32,11,43,7.5,7.7,7.7,0.00054,0.00019,0.00073,73.7,8.0,41.0
cshl_fastq_quality_boxplot,1867,60,11,84,7.3,7.7,7.7,0.00098,0.00019,0.00135,1.0,1.0,1.0
cshl_fastq_quality_converter,741,57,12,153,7.5,7.7,7.7,0.00095,0.00020,0.00260,172.1,7.0,427.0
cshl_fastq_quality_filter,24107,447,14,2183,7.5,7.7,7.7,0.00751,0.00024,0.03560,690.5,15.0,2850.4
cshl_fastq_to_fasta,19091,128,13,392,7.5,7.7,7.7,0.00212,0.00022,0.00650,367.0,10.0,1441.0
cshl_fastx_artifacts_filter,1023,525,37,2341,7.6,7.7,7.7,0.00892,0.00063,0.03985,852.3,180.0,2219.0
cshl_fastx_barcode_splitter,13469,427,26,1429,7.5,7.7,7.7,0.00721,0.00043,0.02394,773.0,23.0,2716.2
cshl_fastx_clipper,6416,552,131,2378,7.5,7.7,7.7,0.00920,0.00218,0.04014,1003.5,187.0,4838.8
